Name,Medium,Year,Creator
Darth Vader,Star Wars,1977,George Lucas
Darth Sidius,Star Wars: The Empire Strikes Back,1980,George Lucas
Darth Maul,Star Wars: The Phantom Menace,1999,George Lucas
Darth Plagueis,Star Wars: Revenge of the Sith,2005,George Lucas
Yoda,Star Wars: The Empire Strikes Back,1980,George Lucas
Sauron,The Fellowship of the Ring,1954,J.R.R. Tolkien
Sauroman,The Fellowship of the Ring,1954,J.R.R. Tolkien
Gandalf,The Hobbit,1937, J.R.R Tolkien
Radagast,The Hobbit,1937,J.R.R Tolkien
Dumbledore,Harry Potter and the Philosopher's Stone,1997,J.K.Rowling
Harry Potter,Harry Potter and the Philosopher's Stone,1997,J.K.Rowling
Ron Weasley,Harry Potter and the Philosopher's Stone,1997,J.K.Rowling
Hermione Granger,Harry Potter and the Philosopher's Stone,1997,J.K.Rowling
Severus Snape,Harry Potter and the Philosopher's Stone,1997,J.K.Rowling
Merlin,The Sword in the Stone,1938,T.H. White
